id,ean,title,title_gr,brand,cat1,cat2,cat3,subcategory,unit_basis,pack_size_ml,organic,vegan,vegetarian,gluten_free,lactose_free,kosher,meat_free,image_url,first_seen,last_seen,delisted_on
746244,5201310704540,Ifantis Smoked Bacon Gluten Free 120 g,Ifantis Μπεϊκον Καπνιστό Χωρίς Γλουτένη 120 g,Ifantis,Chilled,Gluten Free,Cold Cuts,Bacon,kg,0,0,0,0,1,0,0,0,https://alphamega.com.cy/Files/Images/Products/746244.jpg,2026-09-12,2026-09-18,
746272,8411287004223,Mery Microfiber Mop 1 Piece,Mery Σφουγγαρίστρα με Μικροϊνες 1 Τεμάχιο,Mery,Household,Cleaning Accessories,,Cleaning Accessories,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/746272.jpg,2026-09-12,2026-09-18,
746379,5022782333652,Finest Smoked Salmon Trout 100 g,Finest Καπνιστή Σολομοπέστροφα 100 g,Finest,Chilled,Fish & Seafood,,Fish & Seafood,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/746379.jpg,2026-09-12,2026-09-18,
746407,5010338200084,Blue Dragon Sweet Chilli & Garlic Sauce 120 g,Blue Dragon Σως Τσίλι Γλυκό με Σκόρδο 120 g,Blue Dragon,Food Cupboard,Vegan,"Sweet & Sour, Sweet & Hot Chili","Sweet & Sour, Sweet & Hot Chili",kg,0,0,1,1,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/746407.jpg,2026-09-12,2026-09-18,
746408,5010338200091,Blue Dragon Oyster & Spring Onion Sauce 120 g,Blue Dragon Σάλτσα Oyster & Spring Onion 120 g,Blue Dragon,Food Cupboard,Ethnic Cuisine,Other Ethnic Condiments,Other Ethnic Condiments,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/746408.jpg,2026-09-12,2026-09-18,
746409,5010338015633,Blue Dragon Hoisin & Garlic Stir Fry Sauce 120 g,Blue Dragon Σάλτσα Hoisin με Σκόρδο 120 g,Blue Dragon,Food Cupboard,Ethnic Cuisine,Other Ethnic Condiments,Other Ethnic Condiments,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/746409.jpg,2026-09-12,2026-09-18,
746541,5201098116207,Attiki Greek Fir Honey 455 g,Attiki Ελληνικό Μέλι Ελάτης 455 g,Attiki,Food Cupboard,Breakfast,"Peanut Butter, Honey, Jam, Other Spreads & Syrups",Honey,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/746541.jpg,2026-09-12,2026-09-18,
746867,8006890329797,Birra Moretti Beer 4.6% 4x330 ml,Birra Moretti Μπύρα 4.6% 4x330 ml,Moretti,Alcoholic Drinks,Beer & Cider,Beer,Beer,L,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/746867.jpg,2026-09-12,2026-09-18,
747011,5290129001186,Charalambides Christis Charalambides Fresh Organic Goat Milk 1.5% Fat 1 L,"Χαραλαμπίδης Κρίστης Χαραλαμπίδης Φρέσκο Βιολογικό Αιγινό Γάλα 1,5% Λιπαρά 1 L",Charalambides Christis,Chilled,Bio,Goat's & Organic Milk,Goat & Organic Milk,,0,1,0,1,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/747011.jpg,2026-09-12,2026-09-18,
747437,2810802000003,Maroulla’s Traditional Goat Halloumi Cyprus Cheese 290 g,Μαρούλλας Παραδοσιακό Αιγινό Χαλλούμι 290 g,Maroulas,Chilled,"Cheese, Haloumi & Spreads",Haloumi Cheese,Haloumi Cheese,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/747437.jpg,2026-09-12,2026-09-18,
747440,5292056001321,Alion Special Salad 250 g,Alion Σαλάτα Special 250 g,Alion,Fresh Food,Fresh Salad & Herbs,,Fresh Salad & Herbs,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/747440.jpg,2026-09-12,2026-09-18,
747449,5291470000057,Agroktima Philippos 15 Free Range Eggs,Agroktima Philippos 15 Φρέσκα Αυγά Ελεύθερης Βοσκής,Agroktima Philippos,Chilled,"Fresh Milk, Cooking Cream & Eggs",Eggs,Eggs,pc,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/747449.jpg,2026-09-12,2026-09-18,
747699,5201856009222,ET Plast Rice Strainer,ET Plast Σουρωτήρι Ρυζιού,ET Plast,Homeware,Kitchenware,Kitchen Tools,Kitchen Tools,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/747699.jpg,2026-09-12,2026-09-18,
747906,5000204578362,Mr Muscle Drain Unblocker Gel 1 L,Mr Muscle Αποφρακτικό Gel 1 L,Mr Muscle,Household,Cleaning,Drain Cleaners,Drain Cleaners,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/747906.jpg,2026-09-12,2026-09-18,
748134,8002713113215,Borgonovo Jug Venezia 1.5 L,Borgonovo Κανάτα Venezia 1.5 L,Borgonovo,Homeware,Kitchenware,Glassware,Glassware,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748134.jpg,2026-09-12,2026-09-18,
748135,8593419415586,Simax Flueted Baking Dish 28x4 cm,Simax Flueted Ταψί Ψησίματος 28x4 cm,Simax,Homeware,Kitchenware,Baking Dishes,Baking Dishes,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748135.jpg,2026-09-12,2026-09-18,
748136,8593419415609,Simax Loaf Dish 285x120x76 mm,Simax Ταψί Ψωμιού 285x120x76 mm,Simax,Homeware,Kitchenware,Baking Dishes,Glassware,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748136.jpg,2026-09-12,2026-09-18,
748137,8593419415623,Simax Mixing Bowl 0.5 L,Simax Μπόλ 0.5 L,Simax,Homeware,Kitchenware,Glassware,Glassware,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748137.jpg,2026-09-12,2026-09-18,
748138,8593419415661,Simax Mixing Bowl 1.3 L,Simax Μπόλ 1.3 L,Simax,Homeware,Kitchenware,Glassware,Glassware,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748138.jpg,2026-09-12,2026-09-18,
