station_id,brand,name,address,phone,area,district,first_seen,last_seen
cf9bb5bb02a6,SHELL,Κ. ΜΙΧΑΗΛΑΣ & ΣΙΑ ΛΙΜΙΤΕΔ,Λεωφ. Ελλάδος 76 Τ.Κ 7101,24533460,Αραδίππου,Larnaca,2026-09-13,2026-09-13
8448a4c5531f,SHELL,Κ. ΜΙΧΑΗΛΑΣ & ΣΙΑ ΛΙΜΙΤΕΔ,Δρόμος Αραδίππου - Αβδελλερού Τ.Κ,24531122,Αβδελλερό,Larnaca,2026-09-13,2026-09-13
8f76232b6d53,STAROIL,STAROIL (CYPRUS) LTD,Λεωφ. Δρομολαξιάς 61 Τ.Κ 7550,24828600,Κίτι,Larnaca,2026-09-13,2026-09-13
93feddaea003,AGIP,VERMIC PETROLEUM LIMIΤΕD,Λεωφόρος Αμαθούντος 56 Τ.Κ 4047,25311165,Γερμασόγεια,Limassol,2026-09-13,2026-09-13
3009230fcbc6,EKO,GREENOIL LIMITED,Γεωργίου Καλογεροπούλου 50 Τ.Κ 4007,25028563,Μέσα Γειτονιά,Limassol,2026-09-13,2026-09-13
73e26adc0d93,EKO,LEFKIOS NICOLAOU ENTERPRISES LIMITED,Λεωφ. Αρχ. Μακαρίου Γ' 204 Τ.Κ 3030,25362096,Λεμεσός,Limassol,2026-09-13,2026-09-13
d2ec9f5d093e,EKO,PAMBINOS & SONS LIMITED,Νίκου και Δέσποινας Παττίχη 17 Τ.Κ 3071,25334111,Λεμεσός,Limassol,2026-09-13,2026-09-13
873fd7d21413,EKO,PAMBINOS PETROL STATION LIMITED,Λεωφ. Γιάννου Κρανιδιώτη 7 Τ.Κ 3110,25822090,Λεμεσός,Limassol,2026-09-13,2026-09-13
4a79c5105aa9,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Φρ. Ρούσβελτ 29 Τ.Κ 3012,25819782,Λεμεσός,Limassol,2026-09-13,2026-09-13
dc99e1b517b2,EKO,R.A.M. OIL CYPRUS LIMITED,Νίκου Ευαγόρου 50 Τ.Κ 3091,25771999,Παλώδια,Limassol,2026-09-13,2026-09-13
9bd07aac27bc,EKO,R.A.M. OIL CYPRUS LIMITED,Λεώφ. Αγίου Αθανασίου 42 Τ.Κ 4102,25753385,Άγιος Αθανάσιος,Limassol,2026-09-13,2026-09-13
25791d087864,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Σπ. Κυπριανού 5 Τ.Κ 4155,25332203,Λεμεσός,Limassol,2026-09-13,2026-09-13
3a0c41beebb7,EKO,R.A.M. OIL CYPRUS LIMITED,Αγίας Φυλάξεως 161 Τ.Κ 3083,25336641,Λεμεσός,Limassol,2026-09-13,2026-09-13
f8ad88f2d98a,EKO,R.A.M. OIL CYPRUS LIMITED,Γλάδστωνος 133 Τ.Κ 3032,25363675,Λεμεσός,Limassol,2026-09-13,2026-09-13
503646d494d5,EKO,R.A.M. OIL CYPRUS LIMITED,Οδυσσέα Γεωργίου 2 Τ.Κ 4651,25390062,Τραχώνι,Limassol,2026-09-13,2026-09-13
74b8ac0b63cd,EKO,R.A.M. OIL CYPRUS LIMITED,Πάφου 11 Τ.Κ 3052,25563791,Λεμεσός,Limassol,2026-09-13,2026-09-13
