key,station_id,fuel,price,first_seen,last_seen,delisted_on
23c7b3207f92:unleaded95,23c7b3207f92,unleaded95,1.645,2026-09-13,2026-09-14,
23c7b3207f92:unleaded98,23c7b3207f92,unleaded98,1.689,2026-09-13,2026-09-14,
2435de52a3ba:diesel,2435de52a3ba,diesel,1.859,2026-09-13,2026-09-14,
2435de52a3ba:heating_oil,2435de52a3ba,heating_oil,1.559,2026-09-13,2026-09-14,
2435de52a3ba:unleaded95,2435de52a3ba,unleaded95,1.599,2026-09-13,2026-09-14,
2435de52a3ba:unleaded98,2435de52a3ba,unleaded98,1.629,2026-09-13,2026-09-14,
24f260ef3191:diesel,24f260ef3191,diesel,1.969,2026-09-13,2026-09-14,
24f260ef3191:heating_oil,24f260ef3191,heating_oil,1.599,2026-09-13,2026-09-14,
24f260ef3191:kerosene,24f260ef3191,kerosene,1.550,2026-09-13,2026-09-14,
24f260ef3191:unleaded95,24f260ef3191,unleaded95,1.689,2026-09-13,2026-09-14,
24f260ef3191:unleaded98,24f260ef3191,unleaded98,1.789,2026-09-13,2026-09-14,
25791d087864:diesel,25791d087864,diesel,1.909,2026-09-13,2026-09-14,
25791d087864:heating_oil,25791d087864,heating_oil,1.528,2026-09-13,2026-09-14,
25791d087864:kerosene,25791d087864,kerosene,1.435,2026-09-13,2026-09-14,
25791d087864:unleaded95,25791d087864,unleaded95,1.649,2026-09-13,2026-09-14,
25791d087864:unleaded98,25791d087864,unleaded98,1.699,2026-09-13,2026-09-14,
25e9844b870d:diesel,25e9844b870d,diesel,1.919,2026-09-13,2026-09-14,
25e9844b870d:heating_oil,25e9844b870d,heating_oil,1.599,2026-09-13,2026-09-14,
25e9844b870d:kerosene,25e9844b870d,kerosene,1.499,2026-09-13,2026-09-14,
25e9844b870d:unleaded95,25e9844b870d,unleaded95,1.649,2026-09-13,2026-09-14,
25e9844b870d:unleaded98,25e9844b870d,unleaded98,1.799,2026-09-13,2026-09-14,
2676e12059bc:diesel,2676e12059bc,diesel,1.899,2026-09-13,2026-09-14,
2676e12059bc:heating_oil,2676e12059bc,heating_oil,1.528,2026-09-13,2026-09-14,
2676e12059bc:kerosene,2676e12059bc,kerosene,1.435,2026-09-13,2026-09-14,
2676e12059bc:unleaded95,2676e12059bc,unleaded95,1.615,2026-09-13,2026-09-14,
2676e12059bc:unleaded98,2676e12059bc,unleaded98,1.699,2026-09-13,2026-09-14,
2685729352b8:diesel,2685729352b8,diesel,1.909,2026-09-13,2026-09-14,
2685729352b8:heating_oil,2685729352b8,heating_oil,1.529,2026-09-13,2026-09-14,
2685729352b8:kerosene,2685729352b8,kerosene,1.399,2026-09-13,2026-09-14,
2685729352b8:unleaded95,2685729352b8,unleaded95,1.647,2026-09-13,2026-09-14,
2685729352b8:unleaded98,2685729352b8,unleaded98,1.697,2026-09-13,2026-09-14,
285b1e3703eb:diesel,285b1e3703eb,diesel,1.907,2026-09-13,2026-09-14,
285b1e3703eb:heating_oil,285b1e3703eb,heating_oil,1.559,2026-09-13,2026-09-14,
285b1e3703eb:kerosene,285b1e3703eb,kerosene,1.469,2026-09-13,2026-09-14,
285b1e3703eb:unleaded95,285b1e3703eb,unleaded95,1.647,2026-09-13,2026-09-14,
285b1e3703eb:unleaded98,285b1e3703eb,unleaded98,1.677,2026-09-13,2026-09-14,
288f16b2cde1:diesel,288f16b2cde1,diesel,1.899,2026-09-13,2026-09-14,
288f16b2cde1:heating_oil,288f16b2cde1,heating_oil,1.529,2026-09-13,2026-09-14,
288f16b2cde1:kerosene,288f16b2cde1,kerosene,1.439,2026-09-13,2026-09-14,
288f16b2cde1:unleaded95,288f16b2cde1,unleaded95,1.627,2026-09-13,2026-09-14,
288f16b2cde1:unleaded98,288f16b2cde1,unleaded98,1.697,2026-09-13,2026-09-14,
